ItemNo,Group,Type,Condition,Dialogue1,Dialogue2,Ambg,Question,Answer1,Answer2,is_Evet,ExpectedAnswer
1,1,exp_item,baseline,"A: Duydun mu, Ceyda'nın dairesi boşalıyor!","B: Biliyorum, harika haber değil mi? Ceyda yurtdışına taşınmak istiyormuş, hatta gönlünde Avrupa ülkeleri varmış.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda Türkiye'de yaşamaya devam etmek istiyor.,Evet,Hayır,0,Hayır
1,2,exp_item,wr,"A: Ceyda macera arıyor, Türkiye'den başka bir ülkede yaşamaya karar vermiş. Taşınmak istiyormuş.","B: Evet evet, hatta gözüne İspanya'yı kestirmiş yerleşmek için.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda herhangi bir Avrupa ülkesinde yaşamak istiyor.,Evet,Hayır,0,Hayır
1,3,exp_item,nr,"A: Ceyda bir liste yapmış, bir sürü ülke yazmış. Oralarda iş bakıyormuş, taşınmak istiyormuş.","B: Haberim var, listeyi de gördüm hatta. Sadece Avrupa ülkeleri yazmış.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda herhangi bir ülkeye yerleşmek istiyor.,Evet,Hayır,0,Hayır
1,4,exp_item,d,"A: Duydun mu, Ceyda Türkiye'den taşınmaya karar vermiş.",B: Duymaz olur muyum! Amerika'yı ve Avrupa'yı düşünmüş ama Amerika'dan vazgeçmiş. Sağlık hizmetleri pahalı diye.,A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda'nın taşınmaya karar verdiği belli bir Avrupa ülkesi var.,Evet,Hayır,0,Hayır
2,4,exp_item,baseline,A: Ahmet'i gördün mü bugün?,"B: Evet evet, sabah gördüm. Acelesi vardı, bir yere gidiyordu. Ayaküstü bana sokaktan bir kedi almak istediğini söyledi hatta.",A: Ahmet bir kedi sahiplenmek istiyor yani.,Ahmet yavru bir köpeği olsun istiyor.,Evet,Hayır,0,Hayır
2,1,exp_item,wr,"A: Ahmet yalnızlıktan sıkılmış, koskoca ev bomboş geliyor diyor. ","B: Evet, bana da dert yandı. Hatta gözüne mahalleden bir kediyi kestirmiş, evde ona bakacakmış.",A: Ahmet bir kedi sahiplenmek istiyor yani.,"Ahmet evine herhangi bir kediyi alacak, aklında özel bir kedi yok.",Evet,Hayır,0,Hayır
2,2,exp_item,nr,A: Bizim mahalledeki barınakta bir sürü evsiz hayvan varmış. Ahmet onlardan birini sahiplenmeye niyetlendi.,"B: Evet, gerçekten çok hayvan var orada. Hepsi de kedi!",A: Ahmet bir kedi sahiplenmek istiyor yani.,Ahmet sokaktan herhangi bir kediyi evlat edinecek.,Evet,Hayır,0,Hayır
2,3,exp_item,d,A: Ahmet bir evcil hayvanı olsun istediğini söyledi bana.,"B: Evet, bana da bahsetti. Kediye bakmak daha kolay olur diye düşünmüş, o yüzden herhangi bir kedi almak istiyormuş.",A: Ahmet bir kedi sahiplenmek istiyor yani.,Ahmet evinde herhangi bir kedi beslemek istiyor.,Evet,Hayır,1,Evet
3,3,exp_item,baseline,"A: Canan'a bir okuma aşkı gelmiş, şaşırdım gerçekten. Kitap okuyacağım diye geziyordu.",B: Ben de şaşırdım doğrusu. Bir biyografi okumak istiyorum dedi bana da.,A: Demek Canan bir biyografi okumak istiyor. ,Canan sadece dergi okumak istiyor.,Evet,Hayır,0,Hayır
3,4,exp_item,wr,"A: Haberin var mı, Canan bu dönem okuyacağı kitabı seçmiş.","B: Olmaz mı! Seçmekle kalmamış, gidip almış da. Bana gösterdi okumak istediği kitabı. Bir biyografi!",A: Demek Canan bir biyografi okumak istiyor. ,Canan bu dönem okuyacağı kitabı seçmemiş.,Evet,Hayır,0,Hayır
