ItemNo,Type,Condition,Dialogue1,Dialogue2,Ambg,Question,Answer1,Answer2,is_Evet,ExpectedAnswer
25,filler,NA,"A: Feriha'nın tırnağı kırılmış, ofiste ortalığı birbirine kattı! Canı çok acıyormuş, tadı çok kaçmış.","B: Yok artık, bir de bayılsaymış! Demek o yüzden benden bir törpü istedi.","A: Aaa, Feriha senden törpü mü istedi? Hiç bilmiyordum!",Feriha tırnağı kırıldığı için bayıldı.,Evet,Hayır,0,Hayır
26,filler,NA,"A: Bizim Hüseyin çaycılığa başlayacakmış diye duydum, hiç haberin var mı?","B: Evet evet, haberim var! İşlek bir caddede kahvehane açmak gibi bir niyeti var hatta.",A: Desene bizim Hüseyin artık işyeri sahibi olacak!,Çaycı Hüseyin bir restoran açmak istiyor.,Evet,Hayır,0,Hayır
27,filler,NA,"A: Canan plajda güneşlenirken uyuyakalmış. Her yeri yanmış! Hem kıpkırmızı, hem de canı acıyor.","B: Vah vah, geçmiş olsun. Yanık yerlerine bir krem sürse çok iyi gelir.",A: Bir krem bütün o yanıkları iyileştirir mi diyorsun?,Canan balkonda güneşlenirken yanmış.,Evet,Hayır,0,Hayır
28,filler,NA,"A: Müjdemi isterim, Nihal üniversite sınavında derece yapmış!",B: Niyahet geçiyor şu sınavı! Geçen sene de sınava girdi ama sınavda fenalaştığı için hiçbir yeri kazanamadı.,A: Demek Nihal daha önce de üniversite sınavına girdi.,Nihal üniversite sınavında iki kere derece yapmış.,Evet,Hayır,0,Hayır
29,filler,NA,A: Recep ile dağ yürüyüşü yapacaktık ama rotayı öğrendikten sonra beni ekti!,B: Recep'in köpek fobisi var. Eğer yol üzerinde köpek olabileceğini öğrendiyse ondan ekmiştir seni.,A: Demek Recep küçücük bir köpekten korkuyor ha!,Recep'in yükseklik fobisi olduğu için yürüyüşe katılmayacak.,Evet,Hayır,0,Hayır
30,filler,NA,"A: Hilal çok fantastik bir rüya görmüş dün. Tam anlatıyordu telefon geldi, dinleyemedim.","B: Bana anlattı, çok acayipti. Bir ejderhanın sırtında tüm dünyayı gezmiş rüyasında.",A: Bizim Hilal bir ejderha avcısı mı olmuş rüyasında? ,Hilal rüyasında bir gergedanın sırtında dünyayı gezmiş.,Evet,Hayır,0,Hayır
31,filler,NA,"A: Ceyhun evde çok sıkılmış, bir yerlere gitmek istiyor. Ne dersin?",B: Ben evden çıkmak isterim ama Ceyhun pikniğe gitmek istiyor. Bahar alerjim yüzünden ona gelemem.,A: Ceyhun bir yerde piknik yapmak istiyor demek.,"Ceyhun dışarı çıkmak istemiyor, evde kalmak istiyor.",Evet,Hayır,0,Hayır
32,filler,NA,"A: Ercan yeni iş bulmuş, duydun mu? Ben duyunca çok mutlu oldum doğusu!","B: Duydum, duymaz mıyım! Nefis bir haber gerçekten de. Havaalanında güvenlik görevlisi olarak çalışacakmış.",A: Demek Ercan havaalanında çalışmayı planlıyor.,Ercan karakolda güvenlik görevlisi olarak çalışacak.,Evet,Hayır,0,Hayır
33,filler,NA,"A: Salih okula geri dönmek istiyormuş. Dün markette karşılaştık, o zaman bahsetti.",B: Bana da anlattı biraz. Sınavlara tekrar girip üniversite öğrencisi olmak niyetindeymiş.,A: Salih tekrar üniversiteli olacak desene.,Salih sınava girip liseyi tekrar okumak istiyor.,Evet,Hayır,0,Hayır
34,filler,NA,A: Leyla işinden hiç ama hiç memnun değil. Ne kendini geliştirebiliyor ne de önünü görebiliyor.,B: Maalesef... Tam da bu yüzden yeni bir iş arıyor kendine bir süredir.,"A: Aaa, Leyla yeni bir iş arıyor demek kendine.",Leyla işinden çok memnun ama yine de yeni bir iş arıyor.,Evet,Hayır,0,Hayır
35,filler,NA,A: Mikail'in seracılığa başladığını duydum. Hep böyle ilginç şeyler peşinde doğrusu!,B: Toprakla uğraşmayı çok seviyor. Şimdi serasında avokado yetiştirmek için uğraşıyor.,"A: Mikail avokado yetiştirecek ha, bir yaşıma daha girdim!",Mikail seracılığa ananas yetiştirmek için başlamış.,Evet,Hayır,0,Hayır
36,filler,NA,A: Bedri'nin sana bir sürprizi varmış! Doğum günün yaklaştığı için sana bir jest yapmak istemiş.,"B: Evet, söyledi. Çok ince düşünmüş, benim bir portremi çizecekmiş.",A: Demek Bedri senin bir portreni çizecek. Gerçekten iyi düşünmüş.,Bedri arkadaşının doğum günü için bir duvar resmi çizmeyi planlıyor.,Evet,Hayır,0,Hayır
37,filler,NA,A: Meral'i gördüm koridorda. Başhekime kız kardeşi ile çalışmak istemediğini söylüyordu. Ne alaka?,"B: Meral'in kız kardeşi de doktor, hem de bizim hastanede. Alakası budur.",A: Meral'in birlikte çalışmak istemeyeceği bir doktor olacağını düşünmezdim.,"Meral, doktor olan kız kardeşi ile beraber çalışmak istemiyor.",Evet,Hayır,1,Evet
38,filler,NA,A: Merve çok çalışmaktan şikayetçi. Oğluna hiç vakit ayıramadığı için epey mutsuzdu.,B: Geçenlerde yeni iş arıyordu. Demek iş değiştirmek istemesi bu yüzdenmiş!,A: Desene sen Merve kendine yeni bir iş bulmak istiyor diye!,Merve oğluna daha fazla vakit ayırabilmek için yeni iş arıyor.,Evet,Hayır,1,Evet
39,filler,NA,A: Baloya Şeyda da bizimle gelecek. Haberin var değil mi?,"B: Yoktu doğrusu! Söylediğin için teşekkürler. Geçen hafta kendine yeni ayakkabı bakıyordu, bundanmış demek.",A: Şeyda baloda giymek için ayakkabı mı almak istiyor yoksa?,Baloya gitmeyi planlayan Şeyda kendine yeni ayakkabı bakıyor.,Evet,Hayır,1,Evet
